brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,log_km_driven,brand_grouped,fuel_type_grouped,km_per_year
Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,12.959846800844963,11.038126355768453,Maruti,Diesel,8885.714285714286
Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,13.312985389904174,11.608244735642321,Toyota,Diesel,13750.0
Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,9.90353755128617,Maruti,Petrol,3333.3333333333335
Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,13.26212705890841,10.596659732783579,Maruti,Petrol,8000.0
Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,12.959846800844963,10.757924157061597,Volkswagen,Petrol,5875.0
Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,12.345838935721968,10.12667110305036,Maruti,Petrol,3125.0
Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,14.018452218287162,9.61587214452889,Hyundai,Diesel,7500.0
Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,13.527829818844937,10.819798284210286,Honda,Petrol,8333.333333333334
Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000,12.765691290604371,10.12667110305036,Mahindra,Diesel,2500.0
Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,13.304686600863562,11.407576060361786,Maruti,Diesel,15000.0
Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,12.873904582205107,10.714439990727769,Maruti,Diesel,5625.0
Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,11.884495917930655,11.254853973354733,Honda,Petrol,5518.071428571428
Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,13.45883704259595,10.12667110305036,Hyundai,Petrol,8333.333333333334
Toyota,Fortuner,8,110000,Individual,Diesel,Manual,13.0,2982,168.5,7,1150000,13.955273369904273,11.608244735642321,Toyota,Diesel,13750.0
Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000,12.73670383776449,10.308985993422082,Renault,Petrol,7500.0
Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,13.049794835104816,10.596484721844948,Honda,Petrol,7998.6
Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,11.736077016252437,11.289794413577894,Hyundai,Petrol,6666.666666666667
Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,13.304686600863562,12.128116509451258,Mahindra,Diesel,20555.555555555555
Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,12.847929163278053,11.407576060361786,Maruti,Diesel,11250.0
Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,13.652992804936396,9.61587214452889,Hyundai,Diesel,5000.0
Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,13.301347705172173,10.596659732783579,Hyundai,Petrol,13333.333333333334
Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,13.45883704259595,10.347564213938401,Honda,Petrol,5196.666666666667
Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,12.923914877701906,10.933124826700707,Maruti,Diesel,8000.0
Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,13.28787951079572,10.867196078739436,Maruti,Petrol,10485.4
Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,13.652992804936396,10.596659732783579,Mahindra,Diesel,40000.0
Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,13.217675375388819,9.741027444837728,Mahindra,Petrol,5666.666666666667
Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,13.345508528717259,9.99884318585288,Maruti,Petrol,4400.0
Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,13.304686600863562,10.896757843893464,Maruti,Petrol,10800.0
Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,13.005831808336863,9.210440366976517,Maruti,Petrol,5000.0
Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,13.180634172318978,9.90353755128617,Maruti,Petrol,10000.0
Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,12.923914877701906,10.882527706063392,Maruti,CNG,17745.666666666668
Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,12.765691290604371,10.213322429629041,Datsun,Petrol,9087.666666666666
Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,13.161586013632684,11.608244735642321,Hyundai,Diesel,15714.285714285714
Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,13.527829818844937,11.156264806643742,Hyundai,Diesel,14000.0
Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,13.235693848424024,11.156264806643742,Maruti,Diesel,17500.0
Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,13.39239204133378,10.571342565808699,Hyundai,Petrol,19500.0
Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,11.736077016252437,10.933124826700707,Hyundai,Petrol,4000.0
Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,10.434145214930487,Hyundai,Petrol,11333.333333333334
Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,13.955273369904273,10.819798284210286,Mahindra,Diesel,12500.0
Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,13.122365377402328,11.256754979390998,Volkswagen,Diesel,8600.0
Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,13.805461232211272,10.491301994830229,Mahindra,Diesel,18000.0
Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,13.219491903015438,10.776390501067295,Hyundai,Diesel,5984.5
Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000,14.316286451937186,9.975854724662028,Mahindra,Diesel,7166.666666666667
Hyundai,Grand i10,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,12.765691290604371,11.225256725762893,Hyundai,Diesel,12500.0
Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,13.122365377402328,10.968215530759236,Ford,Petrol,14500.0
Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,13.26212705890841,10.308985993422082,Maruti,Petrol,10000.0
Hyundai,Grand i10,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,13.208542908506082,10.819798284210286,Hyundai,Diesel,16666.666666666668
Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,13.171155446333852,9.857129428557979,Ford,Petrol,4773.25
Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,12.899222326086994,10.819798284210286,Honda,Petrol,7142.857142857143
Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,11.951186847493476,10.518700218288165,Maruti,Petrol,2466.6666666666665
Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,13.208542908506082,10.757924157061597,Maruti,Diesel,9400.0
Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,13.208542908506082,11.156264806643742,Honda,Petrol,8750.0
Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,12.388398368982115,10.12667110305036,Renault,Petrol,5000.0
Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,13.493928313146206,10.165890277802454,Maruti,Diesel,8666.666666666666
Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,13.081543466215237,10.308985993422082,Ford,Petrol,7500.0
Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,12.834683971615659,9.61587214452889,Hyundai,Petrol,1875.0
Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,12.323860125621126,11.982935344196433,Maruti,Diesel,16000.0
Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,12.899222326086994,10.376642461280849,Tata,Petrol,8025.0
Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,13.217675375388819,9.99884318585288,Hyundai,Petrol,4400.0
Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,13.864301674514206,10.691967639914864,Mahindra,Diesel,8800.0
Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,13.017005083966255,11.264476926102367,Volkswagen,Petrol,15600.0
Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000,13.560619598657233,11.21657930077165,Mercedes-Benz,Petrol,8261.333333333334
Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,12.765691290604371,10.518700218288165,Maruti,Petrol,5285.714285714285
Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,13.217675375388819,11.141876276228,Honda,Diesel,9857.142857142857
Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,13.8924725250259,9.402694764470512,Kia,Petrol,6060.0
Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,13.26212705890841,10.859018228147887,Maruti,Petrol,10400.0
Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,13.76421831620775,11.695255355062795,Toyota,Diesel,24000.0
Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,12.345838935721968,10.915106645867503,Maruti,Petrol,6875.0
Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,12.506180941677357,11.982935344196433,Hyundai,Diesel,16000.0
Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,11.775297421715827,10.596659732783579,Ford,Petrol,4000.0
Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,12.821260987319457,10.736418414365376,Maruti,Petrol,5111.111111111111
Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,13.25339339419516,10.12667110305036,Maruti,Petrol,6250.0
Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,12.807655372286902,11.407576060361786,Volkswagen,Diesel,11250.0
Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,12.54254845357358,10.811080568707087,Hyundai,Petrol,5507.333333333333
Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,9.546884034617925,Hyundai,Diesel,4666.666666666667
Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,13.28787951079572,9.305741456739435,Hyundai,Petrol,2200.0
Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,13.07107218827772,8.517393171418904,Maruti,Petrol,1666.6666666666667
Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,13.437175577097312,10.915106645867503,Ford,Diesel,13750.0
Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,12.847929163278053,11.082157933374816,Hyundai,Diesel,7222.222222222223
Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,12.706850963741102,9.99884318585288,Renault,Petrol,7333.333333333333
Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,13.384729180332174,8.945332616563274,Maruti,Petrol,2557.0
Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,12.691583538230217,11.097425172408931,Maruti,Petrol,13200.0
Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,13.369225017834633,10.717900585587556,Maruti,Petrol,15052.0
Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,13.76316513133229,10.12667110305036,Hyundai,Petrol,12500.0
Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,13.399996629152975,11.695255355062795,Hyundai,Diesel,20000.0
Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,12.983103608918753,10.239995502805316,Maruti,Petrol,4000.0
Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,12.861001210669146,10.915106645867503,Hyundai,Diesel,6875.0
Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,9.546884034617925,Hyundai,Diesel,7000.0
Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,11.951186847493476,11.500660557550157,Maruti,Petrol,8231.666666666666
Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,12.936036208848487,10.968215530759236,Maruti,Diesel,9666.666666666666
Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,12.433212202169729,10.308985993422082,Maruti,Petrol,3000.0
Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,13.955273369904273,10.74507628970625,Mahindra,Diesel,9280.0
Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,12.644330802262578,10.376985071036119,Hyundai,Petrol,4587.285714285715
Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,12.765691290604371,10.463131911491967,Datsun,Petrol,5833.333333333333
Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,13.933294482509151,10.308985993422082,Mahindra,Diesel,7500.0
BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000,14.77102238760702,11.050905878263567,BMW,Diesel,12600.0
Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,13.081543466215237,9.210440366976517,Datsun,Petrol,3333.3333333333335
Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,13.652992804936396,10.12667110305036,Maruti,Diesel,6250.0
Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,13.910821646859095,11.532737896139919,Hyundai,Diesel,25500.0
Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,13.26212705890841,10.463131911491967,Maruti,Petrol,11666.666666666666
Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,12.73670383776449,10.818757763856276,Maruti,Petrol,5549.777777777777
Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,13.73755009757506,10.915106645867503,Ford,Diesel,18333.333333333332
Hyundai,Grand i10,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,12.899222326086994,10.491301994830229,Hyundai,Petrol,6000.0
Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,13.493928313146206,10.812270168919962,Honda,Petrol,9925.0
Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,13.304686600863562,10.463131911491967,Maruti,Diesel,5000.0
Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,11.461642696843066,Mahindra,Diesel,11875.0
Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,13.279368835614243,10.491301994830229,Ford,Diesel,9000.0
Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,12.926350926565435,10.819798284210286,Maruti,Petrol,25000.0
Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,13.017005083966255,10.184937747111391,Maruti,Petrol,4416.666666666667
Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,14.070153551531353,11.289794413577894,Honda,Petrol,13333.333333333334
Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,13.02805489573287,10.736418414365376,Volkswagen,Petrol,7666.666666666667
Hyundai,Grand i10,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,13.47302165746721,9.105090961257085,Hyundai,Petrol,4500.0
Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,13.554147092530322,10.87806606028079,Honda,Petrol,10600.0
Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000,14.88022163978423,9.340315448397929,Ford,Diesel,3795.6666666666665
Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,13.487007879880162,10.819798284210286,Honda,Diesel,16666.666666666668
Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000,12.834683971615659,10.859018228147887,Mahindra,Diesel,10400.0
Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000,12.899222326086994,10.463131911491967,Datsun,Petrol,5833.333333333333
Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000,13.304686600863562,10.778977123006351,Renault,Diesel,8000.0
Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000,13.304686600863562,9.798182590890704,Honda,Petrol,6000.0
Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000,12.506180941677357,10.958043455007317,Maruti,Other,6379.222222222223
Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,13.122365377402328,10.308985993422082,Hyundai,Petrol,5000.0
Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,13.384729180332174,10.915106645867503,Hyundai,Diesel,9166.666666666666
Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,13.399996629152975,9.210440366976517,Maruti,Petrol,3333.3333333333335
BMW,3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2090000,14.55267510240978,11.127277689932466,BMW,Diesel,13600.0
Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000,14.058457520888082,8.987321812850125,Kia,Petrol,8000.0
Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,13.112315061750808,11.082157933374816,Maruti,Diesel,10833.333333333334
Hyundai,Grand i10,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,13.07107218827772,10.12667110305036,Hyundai,Petrol,5000.0
Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,13.180634172318978,11.156264806643742,Maruti,Petrol,11666.666666666666
Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000,13.180634172318978,9.15915233520675,Tata,Petrol,1900.0
Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,13.384729180332174,9.116139576577355,Hyundai,Petrol,1516.6666666666667
Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,12.721888795877375,11.362114203075018,Honda,Petrol,7818.181818181818
Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000,14.070153551531353,11.264476926102367,Audi,Diesel,9750.0
Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,12.611541086966115,11.002116507732017,Ford,Diesel,6000.0
Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000,13.217675375388819,8.97259066827261,Maruti,Petrol,3941.5
Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,12.873904582205107,10.823889820449997,Maruti,Diesel,6275.625
Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000,12.468440756144114,12.301387370778713,Mahindra,Diesel,16923.076923076922
Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000,12.886643575525625,10.968215530759236,Tata,Diesel,14500.0
Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,12.04355959836804,Mahindra,Diesel,18888.88888888889
Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,13.384729180332174,9.61587214452889,Maruti,Petrol,5000.0
Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,12.834683971615659,11.173893956204092,Maruti,Diesel,14249.0
Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000,14.077875591662238,8.853808274977197,Kia,Petrol,3500.0
Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000,12.793862088206213,9.90353755128617,Maruti,Petrol,6666.666666666667
Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000,13.132315688453556,9.071193240566025,Maruti,Petrol,8700.0
Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,12.644330802262578,10.12667110305036,Maruti,Petrol,12500.0
Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,13.208542908506082,10.645448706505872,Hyundai,Petrol,7000.0
Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000,11.918397239722838,11.695255355062795,Mahindra,Diesel,8000.0
Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,13.270785106659046,10.819798284210286,Maruti,Petrol,16666.666666666668
Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000,12.429220196836383,10.968215530759236,Maruti,Petrol,5800.0
Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,13.384729180332174,10.491301994830229,Hyundai,Petrol,9000.0
Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,12.923914877701906,10.308985993422082,Maruti,Diesel,10000.0
Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,13.182519183461475,12.000455849364968,Ford,Diesel,27138.0
Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,13.698977865303197,8.922791623969637,Ford,Diesel,2500.0
Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000,13.560619598657233,10.762742216027,Tata,Diesel,9445.4
Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000,12.983103608918753,10.859018228147887,Maruti,CNG,17333.333333333332
Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,12.128116509451258,11.211833885608513,Ford,Diesel,8222.222222222223
Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000,12.994532278619134,10.757924157061597,Mahindra,Diesel,4700.0
Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,13.017005083966255,10.819798284210286,Hyundai,Petrol,8333.333333333334
Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,11.51293546492023,Maruti,Petrol,25000.0
Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000,12.676079399771027,10.463131911491967,Maruti,Petrol,5000.0
Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000,13.45883704259595,10.819798284210286,Hyundai,Diesel,10000.0
Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000,13.353476685668044,9.210440366976517,Ford,Petrol,3333.3333333333335
Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000,12.676079399771027,9.246768728589734,Maruti,Petrol,2074.0
Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000,13.049794835104816,11.034905792929415,Honda,Petrol,7750.0
